"@timestamp",message,hostname
"Aug 13, 2025 @ 15:49:37.472","Skipping BG18073 - box ready | chute ready | box conveyor not ready | not blocked by dump | queueable","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.472","{""message_type"": ""transport_kick_ready_request"", ""event_time"": 1755114577.4727821, ""shuttle_name"": ""shuttleB"", ""region_name"": ""R2"", ""chute_nbr"": 12}","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.472","Skipping BG18007 - box ready | chute ready | box conveyor not ready | not blocked by dump | queueable","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.475","reason for wakeup: Noticed completion of handle_prekick_request","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.475","reason for wakeup: prekick_completed","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.475","Completed prekick actions for chute 12","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.475","Waiting for next wakeup from reducer or completion of one of outstanding actions: [<MergeActionName.AWAIT_MERGE_ITEMS: 'await merge items'>, 'handle_prekick_request']","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.476","Waiting for next wakeup from reducer or completion of one of outstanding actions: [<MergeActionName.AWAIT_MERGE_ITEMS: 'await merge items'>]","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.482","reason for wakeup: requested","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.482","Processing kick_ready","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.482","Waiting for next wakeup from reducer or completion of one of outstanding actions: [<MergeActionName.AWAIT_MERGE_ITEMS: 'await merge items'>, 'handle_kick_ready_request']","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.483","Pausing transport conveyor R2 up to zone 0","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.483","Skipping BG18007 - box ready | chute ready | box conveyor not ready | not blocked by dump | queueable","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.483","Prepare transport conveyor and takeaway rollers for box kick at chute #12 ","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.483","Waited 1.4543533325195312e-05s to pause region shuttleB R2 up to zone 0","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.483","Waiting for the transport conveyor to be ready for pushing (Zones 0,1,2).","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.484","{""message_type"": ""transport_kick_ready"", ""event_time"": 1755114577.4843783, ""shuttle_name"": ""shuttleB"", ""region_name"": ""R2"", ""chute_nbr"": 12}","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.484","Skipping BG18073 - box ready | chute ready | box conveyor not ready | not blocked by dump | queueable","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.484","Done waiting for the transport conveyor to be ready for pushing. Starting takeaway rollers","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.484","Takeaway rollers running","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.493","reason for wakeup: ready","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.493","Waiting for next wakeup from reducer or completion of one of outstanding actions: [<MergeActionName.AWAIT_MERGE_ITEMS: 'await merge items'>, 'handle_kick_ready_request']","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.494","Skipping BG18007 - box ready | chute ready | box conveyor not ready | not blocked by dump | queueable","shuttle-b-5749fb957d-sghfv"
